Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios
https://articulo.mercadolibre.com.co/MCO-972498901-portatil-asus-intel-core-i7-1165g7-disco-ssd-512gb-ram-12gb-_JM#position=47&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portatil Asus Intel Core I7 1165g7 Disco Ssd 512gb Ram 12gb,3.569.900,"Bucaramanga, Santander.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-1067696555-portatil-lenovo-thinkpad-l14-core-i5-10gen-ssd-256-ram-8gb-_JM#position=48&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portatil Lenovo Thinkpad L14 Core I5 10gen  Ssd 256 Ram 8gb,3.900.000,"Chapinero, Bogotá D.C..",+25,,,[]
https://articulo.mercadolibre.com.co/MCO-612540203-macbook-pro-13-retina-mid-2014-_JM#position=49&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Macbook Pro 13 Retina (mid 2014),2.898.000,"Suba, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-814241300-samsung-galaxy-book-pro-13-silver-portatil-evo-i7-8gb-512gb-_JM#position=50&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Samsung Galaxy Book Pro 13 Silver Portatil Evo I7 8gb 512gb ,5.092.900,"Cali, Valle Del Cauca.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1231535094-portatil-samsung-_JM#position=1&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65,Portátil Samsung ,350.000,"Kennedy, Bogotá D.C..",+50,,,[]
https://articulo.mercadolibre.com.co/MCO-1390873478-portatil-lenovo-legion-5-ryzen-5600h-rtx-3060-512-ssd-120hz-_JM#position=2&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65,Portatil Lenovo Legion 5 Ryzen 5600h  Rtx 3060 512 Ssd 120hz,5.799.000,"Suba, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-853422116-macbook-pro14-2021-m1-pro-16gb-512gb-a2442-espanol-original-_JM#position=3&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65,Macbook Pro14  2021 M1 Pro 16gb 512gb A2442 Español Original,10.999.900,"Fontibón, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1023219796-samsung-chrome-116-solo-repuestos-leer-descripcion-bien-_JM#position=4&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65,Samsung Chrome 11.6  Sólo Repuestos Leer Descripción Bien ,100.000,"Engativá, Bogotá D.C..",+50,,,[]
https://articulo.mercadolibre.com.co/MCO-972484237-portatil-asus-intel-core-i7-1165g7-ssd-2tb-ram-24gb-led-156-_JM#position=5&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65,"Portatil Asus Intel Core I7 1165g7 Ssd 2tb Ram 24gb Led 15,6",4.439.900,"Bucaramanga, Santander.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-611264123-portatil-asus-vivobook-flip-14-intel-celeron-n4020-2-en-1-_JM#position=6&search_layout=stack&type=item&tracking_id=fcebac63-b679-448a-ace2-cb606a530e65, Portatil Asus Vivobook Flip 14 Intel Celeron N4020 2 En 1 ,2.110.900,"Cali, Valle Del Cauca.",+100,,,[]
